자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,역삼동,132.88,185000
강남구,도곡동,172.467,284000
강남구,역삼동,144.641,320000
강남구,대치동,121.089,285000
강남구,도곡동,119.17,120000
강남구,개포동,182.2,370000
강남구,청담동,112.5,215000
강남구,대치동,139.54,280000
강남구,도곡동,107.53,208000
강남구,대치동,145.83,464000
강남구,신사동,305.62,2850000
강남구,삼성동,207.82,420000
강남구,자곡동,101.94,187000
강남구,개포동,165.08,367000
강남구,압구정동,245.2,1150000
강남구,압구정동,144.2,510000
강남구,압구정동,144.2,497000
강남구,대치동,97.35,265000
강남구,개포동,165.08,367000
강남구,개포동,107.132,243000
강남구,대치동,97.35,269000
강남구,삼성동,131.65,250000
강남구,압구정동,183.41,670000
강남구,논현동,150.04,270000
강남구,도곡동,184.31,242000
강남구,논현동,582.0,850000
강남구,개포동,96.913,350000
강남구,대치동,145.83,445000
강남구,개포동,96.913,350000
강남구,삼성동,144.43,209000
강남구,수서동,110.69,120000
강남구,압구정동,182.95,690000
강남구,청담동,90.48,72000
강남구,역삼동,535.92,720000
강남구,역삼동,144.431,320000
강남구,역삼동,875.82,860000
강남구,일원동,121.71,300000
강남구,대치동,94.49,365000
강남구,도곡동,179.39,252500
강남구,청담동,107.18,225000
강남구,도곡동,130.259,263000
강남구,논현동,526.84,560000
강남구,도곡동,124.1,230000
강남구,삼성동,93.48,126000
강남구,도곡동,114.993,340000
강남구,일원동,101.97,215000
강남구,수서동,114.45,190500
강남구,대치동,145.83,458000
강남구,논현동,129.874,180000
강남구,일원동,121.71,308000
강남구,청담동,133.97,260000
강남구,도곡동,106.39,290000
강남구,대치동,117.7,340000
강남구,대치동,94.5,368000
강남구,도곡동,137.24,373500
강남구,대치동,128.01,360000
강남구,개포동,132.817,470000
강남구,도곡동,244.66,550000
강남구,개포동,99.991,320000
강남구,대치동,127.78,396000
강남구,도곡동,137.24,362000
강남구,압구정동,181.81,660000
